10000 60000
0 1549 32
0 1702 92
0 2516 53
0 3745 57
0 3907 76
0 9124 94
1 524 53
1 3300 91
1 7317 39
1 7496 30
1 8370 56
2 1395 43
2 1653 76
2 3068 54
2 3523 88
2 6761 48
2 7132 43
2 8389 52
3 6157 97
3 8811 16
3 9023 21
3 9368 54
4 2952 18
4 4376 4
4 4951 64
4 5630 15
4 7867 49
4 9088 15
4 9114 73
4 9711 70
5 1432 61
5 2150 5
5 2550 62
5 2829 13
5 3876 61
6 1028 37
6 1058 7
6 2891 14
6 3012 28
6 4057 46
6 5461 43
6 8678 83
7 1856 88
7 6500 19
7 7922 37
8 1439 76
8 1610 66
8 6707 79
8 7133 27
8 7174 62
8 7395 94
8 7972 47
8 9939 16
9 5594 12
9 8868 50
9 9629 80
10 712 27
10 1513 99
10 4554 94
10 4627 99
10 5232 69
10 5917 55
10 6249 3
10 6888 30
10 7656 68
10 8910 64
11 57 67
11 1008 74
11 2108 77
11 2833 95
11 4854 19
11 4942 20
11 5067 77
11 6261 7
11 6720 39
12 519 13
12 965 82
12 1435 4
12 3361 91
13 35 9
13 2682 66
13 5933 85
13 7842 55
13 8906 82
14 2177 96
14 2195 5
14 4507 61
14 5816 23
14 7421 4
14 8405 55
14 9269 21
14 9762 72
15 803 9
15 1049 24
15 2546 2
15 3132 76
15 7825 88
15 8290 68
15 8544 50
15 8991 65
15 9036 62
15 9106 69
16 703 85
16 1195 39
16 6238 76
16 6366 23
17 4559 52
17 8541 58
18 790 26
18 1000 43
18 1085 66
18 3979 92
18 6114 27
18 9444 20
19 7807 73
19 9827 23
20 1501 25
20 2188 33
20 4325 45
20 5767 28
20 7821 87
20 8362 66
20 8627 99
21 2955 96
21 4244 90
21 5436 1
21 6148 71
22 229 77
22 964 68
22 1760 20
22 2365 41
22 2768 30
23 1985 89
23 2205 25
23 2839 68
23 4854 64
23 4875 48
23 5604 20
23 6077 21
23 6155 73
23 6816 62
23 7330 86
23 9019 65
24 1860 89
24 1951 6
24 4438 37
24 4806 11
24 5332 30
24 6472 70
24 8026 56
25 65 58
25 86 57
25 194 22
25 1222 56
25 3607 52
25 7516 11
25 8425 57
25 9231 23
26 835 87
26 1695 24
26 2446 42
26 4333 28
26 4715 53
26 4889 30
26 6714 53
26 6872 21
26 9286 94
26 9650 100
26 9904 40
26 9965 14
27 608 73
27 667 2
27 684 100
27 1209 38
27 2264 90
27 3628 5
27 3991 75
27 4296 1
27 6247 35
27 7989 44
27 9637 57
27 9793 92
28 1234 1
28 2018 78
28 2245 48
28 3424 53
28 4014 88
28 5908 4
28 7943 75
28 8219 75
28 8309 27
28 9007 17
29 143 3
29 246 80
29 2065 47
29 5788 56
29 5940 1
29 7618 40
29 7890 56
29 9773 41
30 613 53
30 1499 28
30 1802 42
30 3668 52
30 6830 65
30 7065 31
30 7679 57
31 276 39
31 447 31
